"Ref","Crop","Croptype","YieldType","MeanCropYield","BC_AppRate","Inorg_N_AppRate","pH_soil","CEC","SOC","Sand","Silt","Clay","Texture","Feedstock","HTT","BC_percentC","pH_BC","Year","lat","lon","RR","YieldRatio","RelativeYieldIncrease","pot.trial"
"(Kammann et al. 2011)","Quinoa","cereal","Grain",,100,100,"NA","NA","NA","NA","NA","NA","Light","Nonwood",498,0.716,8.1,1,50.5,8.6,0.074,1.077,0.077,1
"(Kammann et al. 2011)","Quinoa","cereal","Biomass",,200,100,"NA","NA","NA","NA","NA","NA","Light","Nonwood",498,0.716,8.1,1,50.5,8.6,0.1,1.105,0.105,1
"(Kammann et al. 2011)","Quinoa","cereal","Biomass",,100,100,"NA","NA","NA","NA","NA","NA","Light","Nonwood",498,0.716,8.1,1,50.5,8.6,0.19,1.209,0.209,1
"(Kammann et al. 2011)","Quinoa","cereal","Biomass",,100,100,"NA","NA","NA","NA","NA","NA","Light","Nonwood",498,0.716,8.1,1,50.5,8.6,0.366,1.442,0.442,1
"(Kammann et al. 2011)","Quinoa","cereal","Biomass",,200,100,"NA","NA","NA","NA","NA","NA","Light","Nonwood",498,0.716,8.1,1,50.5,8.6,0.462,1.588,0.588,1
"(Kammann et al. 2011)","Quinoa","cereal","Grain",,200,100,"NA","NA","NA","NA","NA","NA","Light","Nonwood",498,0.716,8.1,1,50.5,8.6,0.693,2,1,1
"(Kammann et al. 2011)","Quinoa","cereal","Grain",,100,100,"NA","NA","NA","NA","NA","NA","Light","Nonwood",498,0.716,8.1,1,50.5,8.6,0.916,2.5,1.5,1
"(Kimetu et al. 2008)","Maize","cereal","Grain",,14,120,6.3,"NA","NA","NA","NA","NA","Medium","Wood",450,0.851,9.4,1,0.25,35,-0.614,0.541,-0.459,0
"(Kimetu et al. 2008)","Maize","cereal","Grain",,14,120,6.3,"NA","NA","NA","NA","NA","Medium","Wood",450,0.851,9.4,1,0.25,35,-0.209,0.812,-0.188,0
"(Kimetu et al. 2008)","Maize","cereal","Grain",,14,120,5.2,"NA","NA","NA","NA","NA","Medium","Wood",450,0.851,9.4,1,0.25,35,-0.137,0.872,-0.128,0
"(Kimetu et al. 2008)","Maize","cereal","Grain",,14,120,5.5,"NA","NA","NA","NA","NA","Medium","Wood",450,0.851,9.4,1,0.25,35,0.143,1.154,0.154,0
"(Kimetu et al. 2008)","Maize","cereal","Grain",,14,120,5.2,"NA","NA","NA","NA","NA","Medium","Wood",450,0.851,9.4,1,0.25,35,0.261,1.298,0.298,0
"(Kimetu et al. 2008)","Maize","cereal","Grain",,14,120,5.5,"NA","NA","NA","NA","NA","Medium","Wood",450,0.851,9.4,1,0.25,35,0.353,1.423,0.423,0
"(Kimetu et al. 2008)","Maize","cereal","Grain",,14,120,5.9,"NA","NA","NA","NA","NA","Medium","Wood",450,0.851,9.4,1,0.25,35,0.717,2.048,1.048,0
"(Kimetu et al. 2008)","Maize","cereal","Grain",,14,120,5.9,"NA","NA","NA","NA","NA","Medium","Wood",450,0.851,9.4,1,0.25,35,0.847,2.333,1.333,0
"(Lehmann et al. 2003) ","Cowpea","legume","Biomass",,67.6,49.8,5.93,"NA",39,"NA","NA",0.65,"Light","Wood","NA",0.708,"NA",1,-3,-60,0.276,1.318,0.318,1
"(Lehmann et al. 2003) ","Cowpea","legume","Biomass",,135.2,91.478,5.8,"NA",39,"NA","NA",0.65,"Light","Wood","NA",0.708,"NA",1,-3,-60,0.353,1.423,0.423,1
"(Lehmann et al. 2003) ","Cowpea","legume","Biomass",,67.6,0,5.14,"NA","NA","NA","NA",0.65,"Light","Wood","NA",0.708,"NA",1,-3,-60,0.361,1.435,0.435,1
"(Lehmann et al. 2003) ","Cowpea","legume","Biomass",,135.2,41.678,5.16,"NA","NA","NA","NA",0.65,"Light","Wood","NA",0.708,"NA",1,-3,-60,0.611,1.842,0.842,1
"(Lentz & Ippolito 2012) ","Maize","cereal","Biomass",,22.4,"NA",7.6,19,12,0.24,0.56,0.2,,"Wood",500,0.662,6.8,2,42.5,-114.5,-0.37,0.691,-0.309,0
"(Lentz & Ippolito 2012) ","Maize","cereal","Biomass",,22.4,"NA",7.6,19,12,0.24,0.56,0.2,,"Wood",500,0.662,6.8,2,42.5,-114.5,0.019,1.019,0.019,0
"(Lentz & Ippolito 2012) ","Maize","cereal","Biomass",,22.4,"NA",7.6,19,12,0.24,0.56,0.2,,"Wood",500,0.662,6.8,1,42.5,-114.5,0.033,1.033,0.033,0
"(Lentz & Ippolito 2012) ","Maize","cereal","Biomass",,22.4,"NA",7.6,19,12,0.24,0.56,0.2,,"Wood",500,0.662,6.8,1,42.5,-114.5,0.075,1.077,0.077,0
"(Liu et al. 2012)","Rice","cereal","Grain",4.5,20,300,6.21,"NA",18.76,"NA","NA","NA",,"Nonwood",450,0.467,10.4,1,28,113.25,-0.026,0.975,-0.025,0
"(Liu et al. 2012)","Rice","cereal","Grain",4.5,20,0,5.99,"NA",20.11,"NA","NA","NA",,"Nonwood",450,0.467,10.4,1,31,104.25,-0.024,0.976,-0.024,0
"(Liu et al. 2012)","Rice","cereal","Grain",4.5,20,0,4.89,"NA",17.7,"NA","NA","NA",,"Nonwood",450,0.467,10.4,1,28.25,116.25,-0.015,0.985,-0.015,0
"(Liu et al. 2012)","Rice","cereal","Grain",4.5,40,0,5.99,"NA",20.11,"NA","NA","NA",,"Nonwood",450,0.467,10.4,1,31,104.25,-0.012,0.988,-0.012,0
"(Liu et al. 2012)","Rice","cereal","Grain",4.5,20,0,6.21,"NA",18.76,"NA","NA","NA",,"Nonwood",450,0.467,10.4,1,28,113.25,0,1,0,0
"(Liu et al. 2012)","Rice","cereal","Grain",4.5,20,300,5.99,"NA",20.11,"NA","NA","NA",,"Nonwood",450,0.467,10.4,1,31,104.25,0,1,0,0
"(Liu et al. 2012)","Rice","cereal","Grain",4.5,40,0,6.21,"NA",18.76,"NA","NA","NA",,"Nonwood",450,0.467,10.4,1,28,113.25,0,1,0,0
"(Liu et al. 2012)","Rice","cereal","Grain",4.5,40,300,5.99,"NA",20.11,"NA","NA","NA",,"Nonwood",450,0.467,10.4,1,31,104.25,0.011,1.011,0.011,0
"(Liu et al. 2012)","Rice","cereal","Grain",4.5,40,0,4.89,"NA",17.7,"NA","NA","NA",,"Nonwood",450,0.467,10.4,1,28.25,116.25,0.015,1.015,0.015,0
"(Liu et al. 2012)","Rice","cereal","Grain",4.5,40,300,6.21,"NA",18.76,"NA","NA","NA",,"Nonwood",450,0.467,10.4,1,28,113.25,0.037,1.038,0.038,0
"(Liu et al. 2012)","Rice","cereal","Grain",4.5,20,300,4.89,"NA",17.7,"NA","NA","NA",,"Nonwood",450,0.467,10.4,1,28.25,116.25,0.049,1.051,0.051,0
"(Liu et al. 2012)","Rice","cereal","Grain",4.5,40,300,4.89,"NA",17.7,"NA","NA","NA",,"Nonwood",450,0.467,10.4,1,28.25,116.25,0.049,1.051,0.051,0
"(Luyen et al. 2012)","Maize","cereal","Biomass",5.5,38,0,6.5,"NA","NA",0.479,0.0876,0.434,"Heavy","Nonwood","NA","NA","NA",1,10.75,106.75,-0.206,0.814,-0.186,1
"(Luyen et al. 2012)","Maize","cereal","Biomass",5.5,38,50,6.5,"NA","NA",0.479,0.0876,0.434,"Heavy","Nonwood","NA","NA","NA",1,10.75,106.75,-0.106,0.9,-0.1,1
"(Luyen et al. 2012)","Maize","cereal","Grain",5.5,38,0,6.5,"NA","NA",0.479,0.0876,0.434,"Heavy","Nonwood","NA","NA","NA",1,10.75,106.75,-0.1,0.905,-0.095,1
"(Luyen et al. 2012)","Maize","cereal","Biomass",5.5,38,50,4.5,"NA","NA",0.669,0.0532,0.278,"Light","Nonwood","NA","NA","NA",1,10.75,106.75,0.174,1.191,0.191,1
"(Luyen et al. 2012)","Maize","cereal","Grain",5.5,38,50,6.5,"NA","NA",0.479,0.0876,0.434,"Heavy","Nonwood","NA","NA","NA",1,10.75,106.75,0.271,1.311,0.311,1
"(Luyen et al. 2012)","Maize","cereal","Grain",5.5,114,0,6.5,"NA","NA",0.479,0.0876,0.434,"Heavy","Nonwood","NA","NA","NA",1,10.75,106.75,0.391,1.479,0.479,1
"(Luyen et al. 2012)","Maize","cereal","Biomass",5.5,76,50,6.5,"NA","NA",0.479,0.0876,0.434,"Heavy","Nonwood","NA","NA","NA",1,10.75,106.75,0.392,1.479,0.479,1
"(Luyen et al. 2012)","Maize","cereal","Biomass",5.5,114,50,6.5,"NA","NA",0.479,0.0876,0.434,"Heavy","Nonwood","NA","NA","NA",1,10.75,106.75,0.423,1.527,0.527,1
"(Luyen et al. 2012)","Maize","cereal","Biomass",5.5,76,50,4.5,"NA","NA",0.669,0.0532,0.278,"Light","Nonwood","NA","NA","NA",1,10.75,106.75,0.446,1.562,0.562,1
"(Luyen et al. 2012)","Maize","cereal","Biomass",5.5,114,0,6.5,"NA","NA",0.479,0.0876,0.434,"Heavy","Nonwood","NA","NA","NA",1,10.75,106.75,0.455,1.577,0.577,1
"(Luyen et al. 2012)","Maize","cereal","Biomass",5.5,114,50,4.5,"NA","NA",0.669,0.0532,0.278,"Light","Nonwood","NA","NA","NA",1,10.75,106.75,0.541,1.717,0.717,1
"(Luyen et al. 2012)","Maize","cereal","Grain",5.5,38,50,4.5,"NA","NA",0.669,0.0532,0.278,"Light","Nonwood","NA","NA","NA",1,10.75,106.75,0.57,1.768,0.768,1
"(Luyen et al. 2012)","Maize","cereal","Grain",5.5,76,0,6.5,"NA","NA",0.479,0.0876,0.434,"Heavy","Nonwood","NA","NA","NA",1,10.75,106.75,0.67,1.954,0.954,1
"(Luyen et al. 2012)","Maize","cereal","Biomass",5.5,76,0,6.5,"NA","NA",0.479,0.0876,0.434,"Heavy","Nonwood","NA","NA","NA",1,10.75,106.75,0.698,2.01,1.01,1
"(Luyen et al. 2012)","Maize","cereal","Grain",5.5,76,50,4.5,"NA","NA",0.669,0.0532,0.278,"Light","Nonwood","NA","NA","NA",1,10.75,106.75,0.717,2.048,1.048,1
"(Luyen et al. 2012)","Maize","cereal","Grain",5.5,114,50,4.5,"NA","NA",0.669,0.0532,0.278,"Light","Nonwood","NA","NA","NA",1,10.75,106.75,0.791,2.205,1.205,1
"(Luyen et al. 2012)","Maize","cereal","Grain",5.5,76,50,6.5,"NA","NA",0.479,0.0876,0.434,"Heavy","Nonwood","NA","NA","NA",1,10.75,106.75,0.805,2.237,1.237,1
"(Luyen et al. 2012)","Maize","cereal","Grain",5.5,114,50,6.5,"NA","NA",0.479,0.0876,0.434,"Heavy","Nonwood","NA","NA","NA",1,10.75,106.75,0.852,2.343,1.343,1
"(Luyen et al. 2012)","Maize","cereal","Grain",5.5,38,0,4.5,"NA","NA",0.669,0.0532,0.278,"Light","Nonwood","NA","NA","NA",1,10.75,106.75,0.978,2.66,1.66,1
"(Luyen et al. 2012)","Maize","cereal","Grain",5.5,76,0,4.5,"NA","NA",0.669,0.0532,0.278,"Light","Nonwood","NA","NA","NA",1,10.75,106.75,1.731,5.646,4.646,1
"(Luyen et al. 2012)","Maize","cereal","Grain",5.5,114,0,4.5,"NA","NA",0.669,0.0532,0.278,"Light","Nonwood","NA","NA","NA",1,10.75,106.75,1.847,6.339,5.339,1
"(Major et al. 2010)","Maize","cereal","Grain",5.5,20,165,3.91,11,20,"NA","NA",0.42,"Light","Wood","NA",0.729,9.2,1,4.25,-72.5,-0.02,0.98,-0.02,0
"(Major et al. 2010)","Maize","cereal","Grain",5.5,8,165,3.91,11,20,"NA","NA",0.42,"Light","Wood","NA",0.729,9.2,1,4.25,-72.5,0,1,0,0
"(Major et al. 2010)","Maize","cereal","Grain",5.5,8,156,3.91,11,20,"NA","NA",0.42,"Light","Wood","NA",0.729,9.2,3,4.25,-72.5,0.144,1.155,0.155,0
"(Major et al. 2010)","Maize","cereal","Grain",5.5,8,170,3.91,11,20,"NA","NA",0.42,"Light","Wood","NA",0.729,9.2,2,4.25,-72.5,0.163,1.176,0.176,0
"(Major et al. 2010)","Maize","cereal","Grain",5.5,20,170,3.91,11,20,"NA","NA",0.42,"Light","Wood","NA",0.729,9.2,2,4.25,-72.5,0.243,1.275,0.275,0
"(Major et al. 2010)","Maize","cereal","Grain",5.5,20,156,3.91,11,20,"NA","NA",0.42,"Light","Wood","NA",0.729,9.2,3,4.25,-72.5,0.27,1.31,0.31,0
"(Major et al. 2010)","Maize","cereal","Grain",5.5,8,159,3.91,11,20,"NA","NA",0.42,"Light","Wood","NA",0.729,9.2,4,4.25,-72.5,0.544,1.722,0.722,0
"(Major et al. 2010)","Maize","cereal","Grain",5.5,20,159,3.91,11,20,"NA","NA",0.42,"Light","Wood","NA",0.729,9.2,4,4.25,-72.5,0.871,2.389,1.389,0
"(Masulili et al. 2010)","Rice","cereal","Biomass",4.5,10,135,3.75,6.84,7.8,"NA","NA","NA","Medium","Nonwood",600,0.1872,8.75,1,0,109.5,0.944,2.571,1.571,1
"(Mia et al. 2014)","Clover","forb","Biomass",,"NA",120,4.97,14.8,22.4,0.939,0.053,0.034,,"Nonwood",400,"NA","NA",1,52.5,5.75,-0.787,0.455,-0.545,1
"(Mia et al. 2014)","Festuca","forb","Biomass",,"NA",120,4.97,14.8,22.4,0.939,0.053,0.034,,"Nonwood",400,"NA","NA",1,52.5,5.75,-0.655,0.519,-0.481,1
"(Mia et al. 2014)","Clover","forb","Biomass",,"NA",50,4.97,14.8,22.4,0.939,0.053,0.034,,"Nonwood",400,"NA","NA",1,52.5,5.75,-0.071,0.932,-0.068,1
"(Mia et al. 2014)","Festuca","forb","Biomass",,"NA",50,4.97,14.8,22.4,0.939,0.053,0.034,,"Nonwood",400,"NA","NA",1,52.5,5.75,-0.057,0.944,-0.056,1
"(Mia et al. 2014)","Festuca","forb","Biomass",,"NA",1,4.97,14.8,22.4,0.939,0.053,0.034,,"Nonwood",400,"NA","NA",1,52.5,5.75,0.003,1.003,0.003,1
"(Mia et al. 2014)","Festuca","forb","Biomass",,"NA",10,4.97,14.8,22.4,0.939,0.053,0.034,,"Nonwood",400,"NA","NA",1,52.5,5.75,0.017,1.017,0.017,1
"(Mia et al. 2014)","Clover","forb","Biomass",,"NA",1,4.97,14.8,22.4,0.939,0.053,0.034,,"Nonwood",400,"NA","NA",1,52.5,5.75,0.227,1.255,0.255,1
"(Mia et al. 2014)","Clover","forb","Biomass",,"NA",10,4.97,14.8,22.4,0.939,0.053,0.034,,"Nonwood",400,"NA","NA",1,52.5,5.75,0.567,1.763,0.763,1
"(Nehls 2002)","Rice","cereal","Grain",4.5,5.5,87.5,4.1,"NA","NA","NA","NA","NA","Light","Wood","NA","NA","NA",1,-34.12,150.5,-0.09,0.914,-0.086,0
"(Nehls 2002)","Rice","cereal","Grain",4.5,5.5,87.5,3.8,"NA","NA","NA","NA","NA","Light","Wood","NA","NA","NA",1,-34.12,150.5,0.258,1.294,0.294,0
"(Nehls 2002)","Rice","cereal","Grain",4.5,11,0,4.2,"NA","NA","NA","NA","NA","Light","Wood","NA","NA","NA",1,-34.12,150.5,0.268,1.307,0.307,0
"(Nehls 2002)","Rice","cereal","Grain",4.5,11,0,3.8,"NA","NA","NA","NA","NA","Light","Wood","NA","NA","NA",1,-34.12,150.5,1.917,6.803,5.803,0
"(Nguyen et al. 2012)","Maize","cereal","Biomass",5.5,10,0,"NA","NA","NA","NA","NA","NA",,"Nonwood","NA",0.332,9.85,1,-30,151.5,-0.345,0.708,-0.292,1
"(Nguyen et al. 2012)","Maize","cereal","Biomass",5.5,10,110,"NA","NA","NA","NA","NA","NA",,"Nonwood","NA",0.332,9.85,1,-30,151.5,0,1,0,1
"(Nguyen et al. 2012)","Maize","cereal","Biomass",5.5,10,110,"NA","NA","NA","NA","NA","NA",,"Nonwood","NA",0.332,9.85,1,-30,151.5,0.03,1.03,0.03,1
"(Nguyen et al. 2012)","Maize","cereal","Biomass",5.5,10,110,"NA","NA","NA","NA","NA","NA",,"Nonwood","NA",0.332,9.85,1,-30,151.5,0.033,1.033,0.033,1
"(Nguyen et al. 2012)","Maize","cereal","Biomass",5.5,10,110,"NA","NA","NA","NA","NA","NA",,"Nonwood","NA",0.332,9.85,1,-30,151.5,0.075,1.078,0.078,1
"(Nguyen et al. 2012)","Maize","cereal","Biomass",5.5,10,110,"NA","NA","NA","NA","NA","NA",,"Nonwood","NA",0.332,9.85,1,-30,151.5,0.076,1.078,0.078,1
"(Nguyen et al. 2012)","Maize","cereal","Biomass",5.5,10,110,"NA","NA","NA","NA","NA","NA",,"Nonwood","NA",0.332,9.85,1,-30,151.5,0.085,1.089,0.089,1
"(Nguyen et al. 2012)","Maize","cereal","Biomass",5.5,10,110,"NA","NA","NA","NA","NA","NA",,"Nonwood","NA",0.332,9.85,1,-30,151.5,0.143,1.154,0.154,1
"(Nguyen et al. 2012)","Maize","cereal","Biomass",5.5,10,110,"NA","NA","NA","NA","NA","NA",,"Nonwood","NA",0.332,9.85,1,-30,151.5,0.148,1.16,0.16,1
"(Nguyen et al. 2012)","Maize","cereal","Biomass",5.5,10,0,"NA","NA","NA","NA","NA","NA",,"Nonwood","NA",0.332,9.85,1,-30,151.5,0.154,1.167,0.167,1
"(Noguera et al. 2010)","Rice","cereal","Grain",4.5,58,120,4.3,3,52.2,0.4123,0.2378,0.3439,"Medium","Wood","NA",0.729,"NA",1,4.25,-72.5,-0.18,0.835,-0.165,1
"(Noguera et al. 2010)","Rice","cereal","Grain",4.5,58,0,4.3,3,52.2,0.4123,0.2378,0.3439,"Medium","Wood","NA",0.729,"NA",1,4.25,-72.5,-0.134,0.875,-0.125,1
"(Noguera et al. 2010)","Rice","cereal","Biomass (total)",4.5,58,120,4.3,3,52.2,0.4123,0.2378,0.3439,"Medium","Wood","NA",0.729,"NA",1,4.25,-72.5,-0.051,0.951,-0.049,1
"(Noguera et al. 2010)","Rice","cereal","Biomass",4.5,58,120,4.3,3,52.2,0.4123,0.2378,0.3439,"Medium","Wood","NA",0.729,"NA",1,4.25,-72.5,0.024,1.024,0.024,1
"(Noguera et al. 2010)","Rice","cereal","Biomass",4.5,58,120,4.3,3,52.2,0.4123,0.2378,0.3439,"Medium","Wood","NA",0.729,"NA",1,4.25,-72.5,0.025,1.025,0.025,1
"(Noguera et al. 2010)","Rice","cereal","Biomass (total)",4.5,58,120,4.3,3,52.2,0.4123,0.2378,0.3439,"Medium","Wood","NA",0.729,"NA",1,4.25,-72.5,0.05,1.052,0.052,1
"(Noguera et al. 2010)","Rice","cereal","Grain",4.5,58,120,4.3,3,52.2,0.4123,0.2378,0.3439,"Medium","Wood","NA",0.729,"NA",1,4.25,-72.5,0.065,1.067,0.067,1
"(Noguera et al. 2010)","Rice","cereal","Biomass",4.5,58,0,4.3,3,52.2,0.4123,0.2378,0.3439,"Medium","Wood","NA",0.729,"NA",1,4.25,-72.5,0.177,1.194,0.194,1
"(Noguera et al. 2010)","Rice","cereal","Biomass",4.5,58,0,4.3,3,52.2,0.4123,0.2378,0.3439,"Medium","Wood","NA",0.729,"NA",1,4.25,-72.5,0.206,1.229,0.229,1
"(Noguera et al. 2010)","Rice","cereal","Biomass (total)",4.5,58,0,4.3,3,52.2,0.4123,0.2378,0.3439,"Medium","Wood","NA",0.729,"NA",1,4.25,-72.5,0.315,1.37,0.37,1
"(Noguera et al. 2010)","Rice","cereal","Biomass (total)",4.5,58,0,4.3,3,52.2,0.4123,0.2378,0.3439,"Medium","Wood","NA",0.729,"NA",1,4.25,-72.5,0.376,1.457,0.457,1
"(Noguera et al. 2010)","Rice","cereal","Biomass (total)",4.5,32.5,0,5.1,6,"NA",0.2406,0.2756,0.4838,"Medium","Wood",350,0.824,"NA",1,2.75,-76.5,0.669,1.952,0.952,1
"(Noguera et al. 2010)","Rice","cereal","Biomass",4.5,32.5,0,5.1,6,"NA",0.2406,0.2756,0.4838,"Medium","Wood",350,0.824,"NA",1,2.75,-76.5,0.693,2,1,1
"(Noguera et al. 2010)","Rice","cereal","Grain",4.5,58,0,4.3,3,52.2,0.4123,0.2378,0.3439,"Medium","Wood","NA",0.729,"NA",1,4.25,-72.5,0.887,2.429,1.429,1
"(Noguera et al. 2010)","Rice","cereal","Biomass (total)",4.5,32.5,0,5.1,6,"NA",0.2406,0.2756,0.4838,"Medium","Wood",350,0.824,"NA",1,2.75,-76.5,0.905,2.472,1.472,1
"(Noguera et al. 2010)","Rice","cereal","Biomass",4.5,32.5,0,5.1,6,"NA",0.2406,0.2756,0.4838,"Medium","Wood",350,0.824,"NA",1,2.75,-76.5,0.948,2.581,1.581,1
"(Noguera et al. 2010)","Rice","cereal","Grain",4.5,32.5,0,5.1,6,"NA",0.2406,0.2756,0.4838,"Medium","Wood",350,0.824,"NA",1,2.75,-76.5,1.053,2.868,1.868,1
"(Noguera et al. 2010)","Rice","cereal","Grain",4.5,32.5,0,5.1,6,"NA",0.2406,0.2756,0.4838,"Medium","Wood",350,0.824,"NA",1,2.75,-76.5,1.327,3.768,2.768,1
"(Nzanza et al. 2012)","Tomato","fruit","Biomass",,5,200,4.9,"NA","NA","NA","NA","NA",,"Wood",450,0.338,7.2,1,-23.65,30.13,-0.124,0.884,-0.116,0
"(Nzanza et al. 2012)","Tomato","fruit","Grain",,5,200,4.9,"NA","NA","NA","NA","NA",,"Wood",450,0.338,7.2,1,-23.65,30.13,-0.017,0.983,-0.017,0
"(Nzanza et al. 2012)","Tomato","fruit","Grain",,5,200,4.9,"NA","NA","NA","NA","NA",,"Wood",450,0.338,7.2,1,-23.65,30.13,0.029,1.029,0.029,0
"(Nzanza et al. 2012)","Tomato","fruit","Biomass",,5,200,4.9,"NA","NA","NA","NA","NA",,"Wood",450,0.338,7.2,1,-23.65,30.13,0.039,1.04,0.04,0
"(Nzanza et al. 2012)","Tomato","fruit","Biomass",,5,200,4.9,"NA","NA","NA","NA","NA",,"Wood",450,0.338,7.2,1,-23.65,30.13,0.069,1.071,0.071,0
"(Park et al. 2011)","Indian mustard","forb","Biomass",,"NA","NA",5.38,"NA","NA","NA","NA","NA",,"Nonwood",550,0.775,7.7,1,"NA","NA",0.693,2,1,1
"(Park et al. 2011)","Indian mustard","forb","Biomass",,"NA","NA",5.38,"NA","NA","NA","NA","NA",,"Nonwood",550,0.775,7.7,1,"NA","NA",0.693,2,1,1
"(Park et al. 2011)","Indian mustard","forb","Biomass",,"NA","NA",5.38,"NA","NA","NA","NA","NA",,"Nonwood",550,0.775,7.7,1,"NA","NA",0.956,2.6,1.6,1
"(Park et al. 2011)","Indian mustard","forb","Biomass",,"NA","NA",5.38,"NA","NA","NA","NA","NA",,"Nonwood",550,0.775,7.7,1,"NA","NA",1.099,3,2,1
"(Park et al. 2011)","Indian mustard","forb","Biomass",,"NA","NA",5.38,"NA","NA","NA","NA","NA",,"Nonwood",550,0.775,7.7,1,"NA","NA",1.281,3.6,2.6,1
"(Park et al. 2011)","Indian mustard","forb","Biomass",,"NA","NA",5.38,"NA","NA","NA","NA","NA",,"Manure",550,0.517,8.8,1,"NA","NA",1.386,4,3,1
"(Park et al. 2011)","Indian mustard","forb","Biomass",,"NA","NA",5.38,"NA","NA","NA","NA","NA",,"Manure",550,0.517,8.8,1,"NA","NA",1.386,4,3,1
"(Park et al. 2011)","Indian mustard","forb","Biomass",,"NA","NA",5.38,"NA","NA","NA","NA","NA",,"Manure",550,0.517,8.8,1,"NA","NA",1.386,4,3,1
"(Park et al. 2011)","Indian mustard","forb","Biomass",,"NA","NA",5.38,"NA","NA","NA","NA","NA",,"Nonwood",550,0.775,7.7,1,"NA","NA",1.386,4,3,1
"(Park et al. 2011)","Indian mustard","forb","Biomass",,"NA","NA",5.38,"NA","NA","NA","NA","NA",,"Manure",550,0.517,8.8,1,"NA","NA",1.435,4.2,3.2,1
"(Park et al. 2011)","Indian mustard","forb","Biomass",,"NA","NA",5.38,"NA","NA","NA","NA","NA",,"Manure",550,0.517,8.8,1,"NA","NA",1.526,4.6,3.6,1
"(Park et al. 2011)","Indian mustard","forb","Biomass",,"NA","NA",5.38,"NA","NA","NA","NA","NA",,"Manure",550,0.517,8.8,1,"NA","NA",1.569,4.8,3.8,1
"(Peng et al. 2011)","Maize","cereal","Biomass (total)",5.5,2.4,36,4.1,7.28,0.7,0.401,0.275,0.324,"Medium","Nonwood",400,0.697,9.98,1,28,116,0.505,1.658,0.658,1
"(Peng et al. 2011)","Maize","cereal","Biomass (total)",5.5,2.4,36,4.1,7.28,0.7,0.401,0.275,0.324,"Medium","Nonwood",250,0.635,"NA",1,28,116,0.677,1.968,0.968,1
"(Peng et al. 2011)","Maize","cereal","Biomass (total)",5.5,2.4,36,4.1,7.28,0.7,0.401,0.275,0.324,"Medium","Nonwood",300,0.676,"NA",1,28,116,0.737,2.09,1.09,1
"(Peng et al. 2011)","Maize","cereal","Biomass (total)",5.5,2.4,36,4.1,7.28,0.7,0.401,0.275,0.324,"Medium","Nonwood",450,0.729,"NA",1,28,116,0.746,2.108,1.108,1
"(Peng et al. 2011)","Maize","cereal","Biomass (total)",5.5,2.4,36,4.1,7.28,0.7,0.401,0.275,0.324,"Medium","Nonwood",400,0.697,9.98,1,28,116,0.904,2.47,1.47,1
"(Peng et al. 2011)","Maize","cereal","Biomass (total)",5.5,2.4,36,4.1,7.28,0.7,0.401,0.275,0.324,"Medium","Nonwood",350,0.662,"NA",1,28,116,0.949,2.584,1.584,1
"(Pichler 2010)","White clover","forb","Biomass (total)",,10,0,7.3,15.5,20.39,0.66,0.2,0.14,"Light","Wood",550,0.87,8.35,1,46.25,7.5,-0.545,0.58,-0.42,1
"(Pichler 2010)","White clover","forb","Biomass",,10,0,7.3,15.5,20.39,0.66,0.2,0.14,"Light","Wood",550,0.87,8.35,1,46.25,7.5,-0.405,0.667,-0.333,1
"(Pichler 2010)","White clover","forb","Biomass",,10,0.597,7.23,"NA",27.12,0.66,0.2,0.14,"Light","Wood",550,0.87,8.35,1,46.25,7.5,0.63,1.877,0.877,1
"(Pichler 2010)","White clover","forb","Biomass (total)",,10,0.597,7.23,"NA",27.12,0.66,0.2,0.14,"Light","Wood",550,0.87,8.35,1,46.25,7.5,0.788,2.2,1.2,1
"(Quilliam et al. 2012)","Beans","legume","Biomass",,50,0,6.8,"NA",35,"NA","NA","NA","Medium","Wood",450,0.761,8.81,3,53.25,-4,-0.095,0.909,-0.091,0
"(Quilliam et al. 2012)","Beans","legume","Biomass",,25,0,6.8,"NA",35,"NA","NA","NA","Medium","Wood",450,0.761,8.81,3,53.25,-4,0.087,1.091,0.091,0
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.653,7.52,1,"NA","NA",-2.428,0.088,-0.912,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.524,8.27,1,"NA","NA",-2.263,0.104,-0.896,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",500,0.367,9.67,1,"NA","NA",-1.668,0.189,-0.811,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",400,0.2,8.18,1,"NA","NA",-1,0.368,-0.632,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,91,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",600,0.232,10.53,1,"NA","NA",-0.862,0.422,-0.578,1
"(Rajkovich et al. 2012)","Maize","cereal","Biomass",5.5,26,146,6.85,9.76,"NA","NA","NA",0.27,,"Nonwood",300,0.653,7.52,1,"NA","NA",-0.741,0.477,-0.523,1
