Reference,Feedstock,Pyrolysis_temperature,Other,C,C_org,C_inorg,H,N,O,O_to_C,Aromaticity,Ash,VM,Fixed_Carbon,Time_of_experiment_yrs,H_to_Corg,H_C_used,C1,C2,C3,k1,k2,k3,Temp_of_experiment
Singh et al 2012 EST,Eucalyptus wood 400,400,activated,694,,,,,,,85.3,,,,5,0.535823130053083,0.535823130053083,0.240407647144269,99.7595923528557,0,10.9683902102434,0.003067252917048,0,22
Singh et al 2012 EST,Eucalyptus wood 550,550,activated,792.2,,,,,,,98.7,,,,5,0.370416270139547,0.370416270139547,0.086995388289483,99.9130046117105,0,119.514372110952,0.000865530493965,0,22
Singh et al 2012 EST,Eucalyptus wood 400,400,not activated,697.4,,,,,,,83,,,,5,0.581216600016946,0.581216600016946,0.330575028696467,99.6694249713035,0,5.12099280922835,0.003314680176206,0,22
Singh et al 2012 EST,Eucalyptus wood 550,550,not activated,836.1,,,,,,,98.8,,,,5,0.375729953983233,0.375729953983233,0.101821367586677,99.8981786324133,0,51.7656207578921,0.000827759943469,0,22
Singh et al 2012 EST,Eucalyptus leaves 400,400,activated,662.8,,,,,,,81.6,,,,5,0.662336692596115,0.662336692596115,0.627858634723405,99.3721413652766,0,8.81896350826964,0.00396754404952,0,22
Singh et al 2012 EST,Eucalyptus leaves 550,550,activated,719.8,,,,,,,92,,,,5,0.491065930902689,0.491065930902689,0.327198213502964,99.672801786497,0,58.0487187729553,0.001868181047025,0,22
Singh et al 2012 EST,Papermill sludge 550,550,activated,315.9,,,,,,,93.1,,,,5,0.653261799800721,0.653261799800721,4.04630234214841,95.9536976578516,0,6.26546423584899,0.010706001415651,0,22
Singh et al 2012 EST,Poultry litter,400,not activated,431.1,,,,,,,,,,,,0.909666199752311,,3.42125211489123,96.5787478851088,0,30.3532056892778,0.008346650075643,0,22
Singh et al 2012 EST,Poultry litter 550,550,activated,413.2,,,,,,,92.4,,,,5,0.548815171194377,0.548815171194377,0.641443525172191,99.3585564748278,0,53.2980444076877,0.003374206412442,0,22
Singh et al 2012 EST,Cow manure,400,not activated,175,,,,,,,,,,,,1.09071562846755,,2.01786233500077,97.9821376649992,0,33.2954957008815,0.011866377044749,0,22
Singh et al 2012 EST,Cow manure 550,550,activated,165.3,,,,,,,94.5,,,,5,0.720244513020139,,0.683753692346306,99.3162463076537,0,13.2305277490803,0.002589704122747,0,22
Wu et al. 2016 AEE,Rice straw,500,Soil LN,610.2,610.2,,18.4,22.9,348.5,0.2422,27.42,,,,1.06849315068493,0.3593,0.548815171194377,0.14,99.86,0,19.2105263157895,0.001166861143524,0,25
Wu et al. 2016 AEE,Rice straw,500,Soil SD,610.2,610.2,,18.4,22.9,348.5,0.2422,27.42,,,,1.06849315068493,0.3593,0.491065930902689,0.16,99.84,0,9.86486486486487,0.000353481795688,0,25
Wu et al. 2016 AEE,Rice straw,500,Soil JS,610.2,610.2,,18.4,22.9,348.5,0.2422,27.42,,,,1.06849315068493,0.3593,0.491065930902689,0.11,99.89,0,20.2777777777778,0.000527426160338,0,25
Wu et al. 2016 AEE,Rice straw,500,Soil ZJ,610.2,610.2,,18.4,22.9,348.5,0.2422,27.42,,,,1.06849315068493,0.3593,0.491065930902689,0.13,99.87,0,17.3809523809524,0.001029866117405,0,25
Wu et al. 2016 AEE,Rice straw,500,Soil GD,610.2,610.2,,18.4,22.9,348.5,0.2422,27.42,,,,1.06849315068493,0.3593,0.491065930902689,0.12,99.88,0,14.0384615384615,0.00162074554295,0,25
"Zimmerman and Gao, 2013",grass,400,,,586,,,,354,,41.6,13.2,51.4,,3.21369863013699,0.921,,1.69129744364062,98.3087025563594,0,5.76575134091076,0.010057071679627,0,32
"Zimmerman and Gao, 2013",grass,525,,,550,,,,406,,not available,24.8,36.7,,3.21369863013699,0.637,0.637,1.03039848275792,98.9696015172421,0,2.37327717981626,0.003994968034638,0,32
