"region","c_price","discount_rate","allow_eor","early_adoption","plant_mw_th","technology","npv_min","npv_max","npv_mean","mean_co2_transport_distance_km","mean_biomass_transport_distance_km","mean_capital_cost_mg","mean_om_cost_mg","mean_biomass_cost_mg","mean_co2_transport_cost_mg","mean_net_cdr","mean_carbon_removal_revenue_mg","mean_electricity_production_mwh","mean_electricity_revenue_mg","mean_agronomic_revenue_mg","mean_lcoe_usd_mwh","mean_cost_of_co2_avoided","mean_abatement_efficiency","mean_total_capex_m"
"Europe",50,0.08,FALSE,FALSE,250,"BES",-141.083392924981,31.4641176816143,-41.4878845505346,NA,146.372892547443,52.1253774989087,2.50201811994762,86.9719338821258,0,0.150069889939539,7.50349449697705,1.472501178,89.2450883351634,NA,96.1624558380979,Inf,0,211.424031218349
"India",50,0.08,FALSE,FALSE,250,"BES",-85.0704852081662,22.3844532379888,-4.19608791036175,NA,124.063848103915,52.1253774989087,2.50201811994762,73.5865343473527,0,0.845868138062848,42.2934069031423,1.472501178,56.5772930847722,NA,87.0722087573141,123.759671340061,0,211.424031218349
"US",100,0.08,FALSE,FALSE,250,"BES",-137.64918824067,0.451525386014737,-66.5636284265078,NA,252.959922917359,52.1253774989087,2.50201811994762,138.003988437604,0,0.514594434199082,51.4594434199082,1.472501178,77.9900842776848,NA,130.819171444126,433.954366582087,0,211.424031218349
"China",100,0.08,FALSE,FALSE,250,"BES",-77.5820787087856,23.0965346193496,-14.0909497326294,NA,144.019737252917,52.1253774989087,2.50201811994762,61.602960587937,0,0.555728510337068,55.5728510337063,1.472501178,47.3548831616118,NA,78.9339648370693,206.010527637877,0,211.424031218349
"Europe",100,0.08,FALSE,FALSE,250,"BES",-141.788919345521,97.4905228370943,-33.9843900535576,NA,146.372892547443,52.1253774989087,2.50201811994762,86.9719338821258,0,0.150069889939539,15.0069889939541,1.472501178,89.2450883351634,NA,96.1624558380979,Inf,0,211.424031218349
"India",100,0.08,FALSE,FALSE,250,"BES",-44.5116752865737,64.7961638677798,38.0973189927809,NA,124.063848103915,52.1253774989087,2.50201811994762,73.5865343473527,0,0.845868138062848,84.5868138062846,1.472501178,56.5772930847722,NA,87.0722087573141,123.759671340061,0,211.424031218349
"US",150,0.08,FALSE,FALSE,250,"BES",-127.098685118608,50.2421418196289,-40.9250814783295,NA,252.959922917359,52.1253774989087,2.50201811994762,138.003988437604,0,0.514594434199082,77.1891651298621,1.472501178,77.9900842776848,NA,130.819171444126,433.954366582087,0,211.424031218349
"China",150,0.08,FALSE,FALSE,250,"BES",-51.3096391718118,51.4476174687776,13.695475784224,NA,144.019737252917,52.1253774989087,2.50201811994762,61.602960587937,0,0.555728510337068,83.3592765505616,1.472501178,47.3548831616118,NA,78.9339648370693,206.010527637877,0,211.424031218349
"Europe",150,0.08,FALSE,FALSE,250,"BES",-142.49444576606,163.516927992574,-26.4808955565802,NA,146.372892547443,52.1253774989087,2.50201811994762,86.9719338821258,0,0.150069889939539,22.510483490931,1.472501178,89.2450883351634,NA,96.1624558380979,Inf,0,211.424031218349
"India",150,0.08,FALSE,FALSE,250,"BES",-3.95286536498122,107.207874497571,80.3907258959234,NA,124.063848103915,52.1253774989087,2.50201811994762,73.5865343473527,0,0.845868138062848,126.880220709427,1.472501178,56.5772930847722,NA,87.0722087573141,123.759671340061,0,211.424031218349
"US",200,0.08,FALSE,FALSE,250,"BES",-116.548181996547,103.516122889492,-15.2865345301516,NA,252.959922917359,52.1253774989087,2.50201811994762,138.003988437604,0,0.514594434199082,102.918886839816,1.472501178,77.9900842776848,NA,130.819171444126,433.954366582087,0,211.424031218349
"China",200,0.08,FALSE,FALSE,250,"BES",-25.0371996348379,79.7987003182057,41.4819013010775,NA,144.019737252917,52.1253774989087,2.50201811994762,61.602960587937,0,0.555728510337068,111.145702067413,1.472501178,47.3548831616118,NA,78.9339648370693,206.010527637877,0,211.424031218349
"Europe",200,0.08,FALSE,FALSE,250,"BES",-143.199972186599,229.543333148054,-18.9774010596031,NA,146.372892547443,52.1253774989087,2.50201811994762,86.9719338821258,0,0.150069889939539,30.0139779879082,1.472501178,89.2450883351634,NA,96.1624558380979,Inf,0,211.424031218349
"India",200,0.08,FALSE,FALSE,250,"BES",36.6059445566113,149.619585127362,122.684132799067,NA,124.063848103915,52.1253774989087,2.50201811994762,73.5865343473527,0,0.845868138062848,169.173627612569,1.472501178,56.5772930847722,NA,87.0722087573141,123.759671340061,0,211.424031218349
"US",0,0.15,FALSE,FALSE,250,"BES",-197.78489020693,-98.5455100688964,-156.875418045002,NA,252.959922917359,89.3722245620168,4.28986677897681,138.003988437604,0,0.514594434199082,0,1.472501178,77.9900842776848,NA,157.328281457305,522.872020985097,0,211.424031218349
"China",0,0.15,FALSE,FALSE,250,"BES",-169.161653504871,-72.6403268016438,-108.698496488475,NA,144.019737252917,89.3722245620168,4.28986677897681,61.602960587937,0,0.555728510337068,0,1.472501178,47.3548831616118,NA,105.443074850249,276.275460456775,0,211.424031218349
"Europe",0,0.15,FALSE,FALSE,250,"BES",-179.41256222658,-34.6579707015908,-88.0260747696466,NA,146.372892547443,89.3722245620168,4.28986677897681,86.9719338821258,0,0.150069889939539,0,1.472501178,89.2450883351634,NA,122.671565851278,Inf,0,211.424031218349
"India",0,0.15,FALSE,FALSE,250,"BES",-164.663990851896,-59.0619531139396,-85.5241905356415,NA,124.063848103915,89.3722245620168,4.28986677897681,73.5865343473527,0,0.845868138062848,0,1.472501178,56.5772930847722,NA,113.581318770493,169.907574588481,0,211.424031218349
"US",50,0.15,FALSE,FALSE,250,"BES",-187.234387084869,-74.122565318796,-131.236871096824,NA,252.959922917359,89.3722245620168,4.28986677897681,138.003988437604,0,0.514594434199082,25.7297217099541,1.472501178,77.9900842776848,NA,157.328281457305,522.872020985097,0,211.424031218349
"China",50,0.15,FALSE,FALSE,250,"BES",-142.889213967897,-44.2892439522158,-80.9120709716201,NA,144.019737252917,89.3722245620168,4.28986677897681,61.602960587937,0,0.555728510337068,27.7864255168531,1.472501178,47.3548831616118,NA,105.443074850249,276.275460456775,0,211.424031218349
