"region","c_price","discount_rate","allow_eor","early_adoption","plant_mw_th","technology","area_best_km2","area_viable_km2","biomass_processed_yr_mg","npv_min","npv_max","npv_mean","mean_co2_transport_distance_km","mean_biomass_transport_distance_km","mean_capital_cost_mg","mean_om_cost_mg","mean_biomass_cost_mg","mean_co2_transport_cost_mg","mean_net_cdr","mean_carbon_removal_revenue_mg","mean_electricity_production_mwh","mean_electricity_revenue_mg","mean_agronomic_revenue_mg","mean_lcoe_usd_mwh","mean_cost_of_co2_avoided","mean_abatement_efficiency","mean_total_capex_m"
"China",150,0.02,FALSE,FALSE,250,"BES",8681.02951540123,8586.96890588952,283776.421717695,-9.06773472868545,68.0121760358442,45.017446601771,NA,100.114648266961,26.2012980234781,1.25766230512695,55.0171972400441,0,0.558737049728699,83.8105574593048,1.472501178,43.6830467111153,NA,56.0109280731924,147.852306843014,0,211.424031218349
"China",150,0.02,FALSE,FALSE,250,"BECCS",1414410.18860373,1414410.18860373,126246885.085973,56.6717385672156,269.923613257379,183.238140503507,897.062841871194,34.3480186913613,33.2879681484244,1.66439840742122,45.1522028037042,103.178394590103,2.11139714504924,316.709571757385,1.3743344328,49.8115326957818,NA,133.36125441916,86.8112330114929,1.33295274308663,268.607929679724
"China",150,0.02,FALSE,FALSE,250,"BEBCS",3603491.29324262,3603491.29324262,127780325.33366,12.1212353319432,146.475005316913,96.9243782508474,NA,79.5870654336682,45.2070426719704,18.4345858548583,51.93805981505,0,1.0073518988386,151.10278482579,0.75264329023612,22.9762196681385,38.4250620987894,102.511544637412,114.86540718416,1.61708157988147,358.74274277852
"Europe",150,0.02,FALSE,FALSE,250,"BES",201488.419032675,192886.05406437,3761535.54603207,-104.507337137746,190.685363282825,87.985500474376,NA,101.999807037361,26.2012980234781,1.25766230512695,80.3159710556039,0,0.69187171449661,103.780757174491,1.472501178,91.9796746840946,NA,73.1917454426711,Inf,0,211.424031218349
"Europe",150,0.02,FALSE,FALSE,250,"BECCS",2501108.17469204,2480480.64000065,66396656.8799031,-97.08167215182,216.318189877723,116.877094976593,1001.8798309929,77.9635002539896,33.2879681484244,1.66439840742122,76.7105250380966,114.574818670904,1.71781439493506,257.672159240258,1.3743344328,85.442646001181,NA,164.616198841737,131.143285848247,1.08447878468122,268.607929679724
"Europe",150,0.02,FALSE,FALSE,250,"BEBCS",2010156.4547805,1759130.66268514,36671016.8910935,-52.5515534531212,155.679686632071,32.9136676258815,NA,117.339783021194,45.2070426719704,18.4345858548583,82.6169674531777,0,0.788608130650335,118.29121959755,0.75264329023612,42.953298829432,17.9277451788976,170.506868879213,187.995985376844,1.27187459386008,358.74274277852
"India",150,0.02,FALSE,FALSE,250,"BES",26649.1017636019,26649.1017636019,42690.3929420369,39.2752297000504,113.012532467804,69.3576393469584,NA,120.341478794083,26.2012980234781,1.25766230512695,84.9863996847251,0,0.838846680069043,125.827002010357,1.472501178,55.9759973499319,NA,76.3635110744408,134.072575206555,0,211.424031218349
"India",150,0.02,FALSE,FALSE,250,"BECCS",2433521.92857972,2433521.92857972,132088154.958216,87.304025629292,312.95098318882,205.787154438755,996.712511979663,44.7971541402568,33.2879681484244,1.66439840742122,46.5170860744065,123.414362343043,2.37367572400453,356.051358600678,1.3743344328,54.6196108113748,NA,149.078572204492,86.3183067236292,1.49853265404326,268.607929679724
"India",150,0.02,FALSE,FALSE,250,"BEBCS",449388.140983338,449388.140983338,27853102.0298923,32.6762877364883,175.017728225629,132.0858064853,NA,61.212737936878,45.2070426719704,18.4345858548583,59.3484081524608,0,1.07412791390021,161.119187085031,0.75264329023612,29.2406193605363,64.7160367190214,77.4257881738186,114.620476033588,1.97435719956921,358.74274277852
"US",200,0.02,FALSE,FALSE,250,"BES",NA,NA,NA,NA,NA,NA,NA,NA,26.2012980234781,1.25766230512695,NA,0,NA,NA,1.472501178,NA,NA,NA,NA,0,211.424031218349
"US",200,0.02,FALSE,FALSE,250,"BECCS",4054825.07892571,4054825.07892571,14691055.8031549,34.7744154806133,386.3865933886,218.126232707123,871.995186028039,222.046978276506,33.2879681484244,1.66439840742122,133.367046741476,93.1598006499567,2.06188959188992,412.377918377985,1.3743344328,67.2275282764167,NA,190.258795608106,128.077573486444,1.30169797467799,268.607929679724
"US",200,0.02,FALSE,FALSE,250,"BEBCS",58616.3028509371,57246.0770437646,16846.8221814843,-24.5850038825662,80.1611285979124,49.8347286232687,NA,399.230143349708,45.2070426719704,18.4345858548583,159.944521502456,0,0.962910998126611,192.582199625322,0.75264329023612,34.8883664495309,45.9503125777002,236.015971650869,232.51807224784,1.47746020507928,358.74274277852
"China",200,0.02,FALSE,FALSE,250,"BES",5404.91715977801,5404.91715977801,149330.969765389,17.5722341051634,90.7102305505048,65.5069309741388,NA,121.164576911926,26.2012980234781,1.25766230512695,58.174686536789,0,0.556632056864202,111.32641137284,1.472501178,39.8141664666923,NA,58.1552314828735,154.116560177355,0,211.424031218349
"China",200,0.02,FALSE,FALSE,250,"BECCS",2572119.71841316,2572119.71841316,182170784.4578,94.0720092393628,375.548493098796,237.374313092567,1318.2004351061,43.8879801170796,33.2879681484244,1.66439840742122,46.5831970175621,151.36899998278,2.11044314890666,422.088629781332,1.3743344328,48.1902468674231,NA,169.467167523177,110.374264394643,1.33235047279462,268.607929679724
"China",200,0.02,FALSE,FALSE,250,"BEBCS",2449057.87578857,2449057.87578857,71990932.6683936,64.7588915955207,196.745035798977,143.584788410748,NA,91.9889341094935,45.2070426719704,18.4345858548583,53.798340116424,0,1.00310564618313,200.621129236628,0.75264329023612,21.7775859952684,38.6260418221,104.716175436079,117.153026018278,1.61827297429802,358.74274277852
"Europe",200,0.02,FALSE,FALSE,250,"BES",72822.0353997945,72108.8661014321,1205343.85295186,-91.0417636114358,252.052002187695,159.541623422376,NA,108.89305620805,26.2012980234781,1.25766230512695,81.3499584312076,0,0.868322489056562,173.664497811312,1.472501178,94.6860443708761,NA,73.8939434381984,513.565160250976,0,211.424031218349
"Europe",200,0.02,FALSE,FALSE,250,"BECCS",3163754.83885538,3155983.7671987,84414258.1535505,-70.280305228952,308.870215565996,182.555530839954,1230.07037312572,82.6599768964434,33.2879681484244,1.66439840742122,77.4149965344644,137.720120580019,1.73618786561066,347.237573122132,1.3743344328,85.4054413881639,NA,181.969888625156,143.477431226189,1.09607819798653,268.607929679724
